filename,label
FC100/train/n00000016/n0000001600048090.jpg,n00000016
FC100/train/n00000016/n0000001600059604.jpg,n00000016
FC100/train/n00000016/n0000001600019234.jpg,n00000016
FC100/train/n00000016/n0000001600046056.jpg,n00000016
FC100/train/n00000016/n0000001600013725.jpg,n00000016
FC100/train/n00000016/n0000001600039331.jpg,n00000016
FC100/train/n00000016/n0000001600019963.jpg,n00000016
FC100/train/n00000016/n0000001600035245.jpg,n00000016
FC100/train/n00000016/n0000001600000573.jpg,n00000016
FC100/train/n00000016/n0000001600040625.jpg,n00000016
FC100/train/n00000016/n0000001600021595.jpg,n00000016
FC100/train/n00000016/n0000001600042185.jpg,n00000016
FC100/train/n00000016/n0000001600017812.jpg,n00000016
FC100/train/n00000016/n0000001600028374.jpg,n00000016
FC100/train/n00000016/n0000001600049991.jpg,n00000016
FC100/train/n00000016/n0000001600050218.jpg,n00000016
FC100/train/n00000016/n0000001600034239.jpg,n00000016
FC100/train/n00000016/n0000001600009621.jpg,n00000016
FC100/train/n00000016/n0000001600040547.jpg,n00000016
FC100/train/n00000016/n0000001600058308.jpg,n00000016
FC100/train/n00000016/n0000001600056457.jpg,n00000016
FC100/train/n00000016/n0000001600035872.jpg,n00000016
FC100/train/n00000016/n0000001600018738.jpg,n00000016
FC100/train/n00000016/n0000001600015221.jpg,n00000016
FC100/train/n00000016/n0000001600002991.jpg,n00000016
FC100/train/n00000016/n0000001600021609.jpg,n00000016
FC100/train/n00000016/n0000001600049953.jpg,n00000016
FC100/train/n00000016/n0000001600025137.jpg,n00000016
FC100/train/n00000016/n0000001600051846.jpg,n00000016
FC100/train/n00000016/n0000001600040618.jpg,n00000016
FC100/train/n00000016/n0000001600008890.jpg,n00000016
FC100/train/n00000016/n0000001600004502.jpg,n00000016
FC100/train/n00000016/n0000001600056522.jpg,n00000016
FC100/train/n00000016/n0000001600015396.jpg,n00000016
FC100/train/n00000016/n0000001600022248.jpg,n00000016
FC100/train/n00000016/n0000001600048907.jpg,n00000016
FC100/train/n00000016/n0000001600026760.jpg,n00000016
FC100/train/n00000016/n0000001600029321.jpg,n00000016
FC100/train/n00000016/n0000001600030114.jpg,n00000016
FC100/train/n00000016/n0000001600044130.jpg,n00000016
FC100/train/n00000016/n0000001600024820.jpg,n00000016
FC100/train/n00000016/n0000001600026789.jpg,n00000016
FC100/train/n00000016/n0000001600026206.jpg,n00000016
FC100/train/n00000016/n0000001600015800.jpg,n00000016
FC100/train/n00000016/n0000001600023424.jpg,n00000016
FC100/train/n00000016/n0000001600040815.jpg,n00000016
FC100/train/n00000016/n0000001600038789.jpg,n00000016
FC100/train/n00000016/n0000001600052578.jpg,n00000016
FC100/train/n00000016/n0000001600020703.jpg,n00000016
FC100/train/n00000016/n0000001600026400.jpg,n00000016
FC100/train/n00000016/n0000001600005597.jpg,n00000016
FC100/train/n00000016/n0000001600011284.jpg,n00000016
FC100/train/n00000016/n0000001600025135.jpg,n00000016
FC100/train/n00000016/n0000001600019141.jpg,n00000016
FC100/train/n00000016/n0000001600008702.jpg,n00000016
FC100/train/n00000016/n0000001600022464.jpg,n00000016
FC100/train/n00000016/n0000001600021145.jpg,n00000016
FC100/train/n00000016/n0000001600058486.jpg,n00000016
FC100/train/n00000016/n0000001600052154.jpg,n00000016
FC100/train/n00000016/n0000001600050025.jpg,n00000016
FC100/train/n00000016/n0000001600052632.jpg,n00000016
FC100/train/n00000016/n0000001600048643.jpg,n00000016
FC100/train/n00000016/n0000001600048125.jpg,n00000016
FC100/train/n00000016/n0000001600046134.jpg,n00000016
FC100/train/n00000016/n0000001600002004.jpg,n00000016
FC100/train/n00000016/n0000001600038818.jpg,n00000016
FC100/train/n00000016/n0000001600048455.jpg,n00000016
FC100/train/n00000016/n0000001600029901.jpg,n00000016
FC100/train/n00000016/n0000001600010616.jpg,n00000016
FC100/train/n00000016/n0000001600023380.jpg,n00000016
FC100/train/n00000016/n0000001600017743.jpg,n00000016
FC100/train/n00000016/n0000001600056051.jpg,n00000016
FC100/train/n00000016/n0000001600012834.jpg,n00000016
FC100/train/n00000016/n0000001600047821.jpg,n00000016
FC100/train/n00000016/n0000001600058530.jpg,n00000016
FC100/train/n00000016/n0000001600058518.jpg,n00000016
FC100/train/n00000016/n0000001600002616.jpg,n00000016
FC100/train/n00000016/n0000001600021971.jpg,n00000016
FC100/train/n00000016/n0000001600005810.jpg,n00000016
FC100/train/n00000016/n0000001600046083.jpg,n00000016
FC100/train/n00000016/n0000001600046929.jpg,n00000016
FC100/train/n00000016/n0000001600004511.jpg,n00000016
FC100/train/n00000016/n0000001600023435.jpg,n00000016
FC100/train/n00000016/n0000001600020855.jpg,n00000016
FC100/train/n00000016/n0000001600045983.jpg,n00000016
FC100/train/n00000016/n0000001600037520.jpg,n00000016
FC100/train/n00000016/n0000001600025118.jpg,n00000016
FC100/train/n00000016/n0000001600022105.jpg,n00000016
FC100/train/n00000016/n0000001600057571.jpg,n00000016
FC100/train/n00000016/n0000001600016263.jpg,n00000016
FC100/train/n00000016/n0000001600021154.jpg,n00000016
FC100/train/n00000016/n0000001600023019.jpg,n00000016
FC100/train/n00000016/n0000001600059992.jpg,n00000016
FC100/train/n00000016/n0000001600041893.jpg,n00000016
FC100/train/n00000016/n0000001600023965.jpg,n00000016
FC100/train/n00000016/n0000001600046643.jpg,n00000016
FC100/train/n00000016/n0000001600023781.jpg,n00000016
FC100/train/n00000016/n0000001600001252.jpg,n00000016
FC100/train/n00000016/n0000001600002940.jpg,n00000016
FC100/train/n00000016/n0000001600025870.jpg,n00000016
FC100/train/n00000016/n0000001600027097.jpg,n00000016
FC100/train/n00000016/n0000001600008921.jpg,n00000016
FC100/train/n00000016/n0000001600038148.jpg,n00000016
FC100/train/n00000016/n0000001600019025.jpg,n00000016
FC100/train/n00000016/n0000001600040187.jpg,n00000016
FC100/train/n00000016/n0000001600055987.jpg,n00000016
FC100/train/n00000016/n0000001600057174.jpg,n00000016
FC100/train/n00000016/n0000001600020465.jpg,n00000016
FC100/train/n00000016/n0000001600020459.jpg,n00000016
